station,valid,tmpc,dwpc,relh,sped,p01m,gust_mph
JFK,2016-01-01 00:51,8.30,-1.10,51.55,10.35,0.00,19.55
LGA,2016-01-01 00:51,7.80,-1.10,53.33,13.80,0.00,null
NYC,2016-01-01 00:51,7.20,-2.20,51.24,5.75,0.00,null
LGA,2016-01-01 01:51,7.20,-1.10,55.56,16.10,0.00,null
NYC,2016-01-01 01:51,6.70,-2.80,50.73,10.35,0.00,19.55
JFK,2016-01-01 01:51,7.80,-1.70,51.03,16.10,0.00,null
LGA,2016-01-01 02:51,7.20,-1.70,53.17,17.25,0.00,null
NYC,2016-01-01 02:51,6.10,-3.30,null,null,0.00,null
JFK,2016-01-01 02:51,7.20,-2.20,51.24,17.25,0.00,null
NYC,2016-01-01 03:51,5.60,-2.20,57.22,6.90,0.00,null
JFK,2016-01-01 03:51,6.70,-2.80,50.73,14.95,0.00,null
LGA,2016-01-01 03:51,6.10,-1.70,57.35,12.65,0.00,null
JFK,2016-01-01 04:51,6.70,-2.20,53.03,12.65,0.00,null
NYC,2016-01-01 04:51,5.60,-3.30,52.73,4.60,0.00,null
LGA,2016-01-01 04:51,6.10,-1.70,57.35,11.50,0.00,null
JFK,2016-01-01 05:51,6.10,-2.80,52.87,12.65,0.00,null
NYC,2016-01-01 05:51,5.60,-3.90,50.42,4.60,0.00,null
LGA,2016-01-01 05:51,6.10,-1.70,57.35,17.25,0.00,null
LGA,2016-01-01 06:51,6.10,-2.20,55.27,16.10,0.00,null
NYC,2016-01-01 06:51,5.00,-3.90,52.56,3.45,0.00,null
JFK,2016-01-01 06:51,6.10,-2.80,52.87,13.80,0.00,null
NYC,2016-01-01 07:51,5.00,-3.30,54.97,4.60,0.00,null
JFK,2016-01-01 07:51,5.60,-2.80,54.73,9.20,0.00,null
LGA,2016-01-01 07:51,5.60,-2.80,54.73,12.65,0.00,null
LGA,2016-01-01 08:51,5.60,-2.80,54.73,12.65,0.00,null
NYC,2016-01-01 08:51,5.00,-3.30,54.97,9.20,0.00,null
JFK,2016-01-01 08:51,6.10,-2.80,52.87,8.05,0.00,null
LGA,2016-01-01 09:51,5.00,-2.20,59.65,12.65,0.00,null
JFK,2016-01-01 09:51,5.60,-2.20,57.22,12.65,0.00,null
